Label,Email_Text
spam,"Congratulations! You've won a free iPhone. Click here to claim now."
ham,"Hi John, just wanted to confirm our meeting tomorrow at 10 AM."
spam,"Limited-time offer! Get 50% off on all products. Visit our website now."
ham,"Dear Sarah, your invoice for March has been attached. Please let me know if you have any questions."
spam,"Earn $1000 per week from home! No experience required. Apply now."
ham,"Hey, are you coming to the team dinner this Friday? Let me know."
spam,"Get a free vacation to Hawaii! Sign up today and enter to win."
ham,"Reminder: Your library books are due next week. Please return them on time."
spam,"Hot singles in your area are waiting to meet you. Click here to find out more!"
ham,"Thank you for your purchase! Your order #12345 will be shipped soon."
spam,"Act now! This amazing deal expires in 24 hours. Don't miss out!"
ham,"Can you review the report I sent last night? Let me know your feedback."
spam,"You've been selected for an exclusive offer. Claim your prize now!"
ham,"Just checking in to see if you've finished the slides for the presentation."
spam,"Congratulations! You’ve been pre-approved for a $10,000 loan. Apply here!"
ham,"The meeting agenda is attached. Let me know if there are any updates."
spam,"Don't miss out on the chance to double your earnings. Join today!"
ham,"Your account statement for April is now available online. Log in to view."
spam,"This is not a scam! Transfer $500 to claim your lottery prize."
ham,"Can we reschedule our call to next week? I’m unavailable tomorrow."
spam,"Hurry! Buy one, get one free on all items in our clearance sale!"
ham,"Your order has been delivered. Let us know if you need any assistance."
spam,"Update your account information now to avoid suspension. Click here."
ham,"Please find the project timeline attached for your reference."
spam,"Win a free car! Enter our sweepstakes now for a chance to win big!"
ham,"Here is the document you requested last week. Let me know if it’s okay."
spam,"Urgent: Your account has been hacked. Reset your password immediately."
ham,"The team meeting has been moved to 3 PM. Please adjust your schedule."
spam,"Earn $500 daily with this simple trick! Sign up for free now."
ham,"Thanks for your email. I’ll get back to you with more details tomorrow."
spam,"Exclusive deal for you: Get a luxury watch at 90% off! Shop now."
ham,"Could you please share the updated version of the report by EOD?"
spam,"Be your own boss! Start earning from home today. No fees required!"
ham,"I’m attaching the minutes of the last meeting for your reference."
spam,"Unlock the secret to financial freedom. Join our webinar today!"
ham,"Don’t forget to submit your timesheet by the end of the week."
spam,"Final warning: Your subscription will expire today. Renew now!"
ham,"Thanks for helping with the event. It was a great success!"
spam,"Get rich quick! Learn how to invest with zero risk. Sign up now!"
ham,"Here’s the draft for the upcoming newsletter. Let me know your thoughts."
spam,"Free gift card just for you! Redeem it before it expires."
ham,"Your ticket for the seminar has been confirmed. See you there!"
spam,"You’ve been chosen to receive a free gift. Claim it here!"
ham,"Can you confirm your attendance for the upcoming conference?"
spam,"Download this app now to earn rewards every day. It’s free!"
ham,"The client meeting has been rescheduled to next Monday."
